"test_id","test_creatorId","test_time","test_accuracy","test_wpm","test_rawWpm","test_chars","test_createdAt","test_testTaken","creator_id","creator_uid","creator_username","creator_email","creator_createdAt","creator_updatedAt"
143,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,108,108,"113 / 0","2024-09-23 08:34:46.451736+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
156,"wlhhYCPwhZUrzYw57H5QbhBkAE53",30,95.6,105,109,"216 / 10","2024-09-23 08:48:50.007503+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
174,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,100,102,102,"211 / 0","2024-09-25 13:59:47.509571+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
178,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,96.7,100,103,"207 / 7","2024-09-25 14:05:33.284284+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
144,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96.2,100,103,"102 / 4","2024-09-23 08:37:07.364437+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
159,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,99,99,"124 / 0","2024-09-23 13:11:48.153108+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
172,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,100,98,98,"207 / 0","2024-09-25 13:50:47.195711+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
78,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,96,96,"120 / 0","2024-09-20 07:59:07.220193+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
139,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,96,96,"98 / 0","2024-09-22 16:18:10.597117+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
102,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.8,96,99,"120 / 4","2024-09-20 16:56:47.968408+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
158,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,93.5,96,102,"100 / 7","2024-09-23 12:54:37.25383+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
112,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,93.3,96,102,"97 / 7","2024-09-21 09:41:34.845776+05:30","21/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
111,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.7,94,97,"118 / 4","2024-09-21 06:09:26.773258+05:30","21/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
4,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.7,92,96,"116 / 4","2024-09-11 11:09:22.943149+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
123,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.6,92,95,"115 / 4","2024-09-22 04:51:55.137364+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
160,"wlhhYCPwhZUrzYw57H5QbhBkAE53",45,94,92,97,"283 / 18","2024-09-23 13:16:38.816241+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
132,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,91,91,"96 / 0","2024-09-22 16:10:02.306315+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
45,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,98.3,91,92,"114 / 2","2024-09-20 05:10:50.241956+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
13,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,90,90,"113 / 0","2024-09-11 16:29:11.428099+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
171,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,100,89,89,"223 / 0","2024-09-25 13:49:32.686046+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
61,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.6,89,92,"112 / 4","2024-09-20 05:25:26.165326+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
68,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,88,88,"111 / 0","2024-09-20 07:54:23.551024+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
137,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,87,87,"109 / 0","2024-09-22 16:16:55.638496+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
113,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,97.3,87,89,"109 / 3","2024-09-21 09:45:48.369693+05:30","21/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
71,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,86,86,"108 / 0","2024-09-20 07:55:41.813576+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
73,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,98.2,86,88,"108 / 2","2024-09-20 07:57:23.280044+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
54,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,97.3,86,88,"108 / 3","2024-09-20 05:22:30.409541+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
1,"wlhhYCPwhZUrzYw57H5QbhBkAE53",60,96.4,86,89,"433 / 16","2024-09-11 11:07:28.464098+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
140,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,94.7,86,91,"108 / 6","2024-09-22 16:19:32.120704+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
51,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,85,85,"107 / 0","2024-09-20 05:20:38.460317+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
96,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,100,85,85,"429 / 0","2024-09-20 15:19:34.631293+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
